image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,total_score,raw_level,caps_applied,final_level,clip_dog_score,clip_face_score,clip_pastel_score,clip_activity_score,clip_place_score,yolo_dog_count,reason_face_clear,reason_one_dog,reason_prompt_reflected,reason_time_palette_ok,reason_no_mirror,reason_no_extra_legs,reason_pastel_style,reason_human_prompt_consistency,reason_no_duplicate_face_parts,reason_no_realistic_rendering,reason_human_face_clear,reason_place_context_ok,in_tokens,out_tokens
20260415_153837_7f1a39,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,1,1,1.0,1.0,1,16,L4,"""""",L4,0.0533,0.0023,0.0969,,,0,강아지의 얼굴이 선명하게 잘 표현되어 있으며 왜곡이 없습니다.,이미지 내에 강아지가 정확히 한 마리만 있습니다.,프롬프트의 핵심 장면인 강아지가 장난감을 가지고 있는 모습이 잘 표현되었습니다.,팔레트와 시간대가 자연스럽게 어울립니다.,반사나 거울 이미지는 없습니다.,다리가 정상적인 개수로 자연스럽게 표현되었습니다.,한국-일본식 파스텔 그림책 스타일이 잘 반영되었습니다.,사람이 등장하지 않습니다.,"눈, 코, 귀가 중복되지 않고 정상적인 개수로 표현되었습니다.",사실적 렌더링이 없이 일러스트 스타일로 표현되었습니다.,사람이 없습니다.,배경이 실내라는 장소와 분위기에 잘 맞습니다.,1712,434
20260415_154753_ad86dd,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0457,0.0199,0.0991,0.0137,,0,강아지 얼굴이 선명하며 왜곡 없이 표현됨.,이미지에 강아지는 정확히 1마리임.,강아지가 간식을 기다리는 모습이 잘 표현됨.,밝은 낮의 팔레트와 잘 일치함.,반사 이미지가 없음.,다리가 정상적으로 4개 있으며 추가되거나 부자연스럽지 않음.,한국-일본식 파스텔 그림책 스타일이 잘 표현됨.,"이미지에 사람이 부분적으로 보이지만, 주요 요소는 강아지임.","눈, 코, 귀가 중복 없이 정상적으로 생성됨.",사실적 렌더링 없이 일러스트 스타일로 표현됨.,사람의 얼굴은 보이지 않음.,배경이 자연스럽고 전체 맥락에 어울림.,1713,395
20260415_155037_9b424a,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,0.0,1,0,1,1.0,0.0,1,13,L3,"""prompt_reflected->L3""",L3,0.0579,0.016,0.1145,-0.0106,,0,"강아지의 눈, 코, 입이 선명하게 표현되었다.",이미지에는 강아지가 한 마리뿐이다.,프롬프트에는 병원이 언급되었으나 이미지에서는 병원 요소가 없다.,낮의 분위기로 팔레트가 일치한다.,반사나 거울 이미지가 없다.,다리가 네 개로 자연스럽게 표현되었다.,한국식 파스텔 그림책 스타일로 표현되었다.,이미지에 사람은 등장하지 않는다.,"눈, 코, 귀가 중복되지 않고 정상적으로 표현되었다.",사실적 렌더링 없이 일러스트 스타일이다.,사람이 없으므로 해당 없음.,프롬프트에서 언급된 장소와 상황이 이미지에 반영되지 않았다.,1716,427
20260415_155306_cc40ae,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0358,0.0131,0.1244,,,0,강아지 얼굴이 선명하게 표현됨.,강아지가 정확히 한 마리 있음.,프롬프트의 요소가 잘 반영됨.,따뜻한 색조로 포근한 분위기 표현.,반사 또는 거울 이미지 없음.,다리가 추가로 생성되지 않음.,한국식 파스텔 그림책 스타일임.,사람이 프롬프트와 일치하게 표현됨.,"눈, 코, 귀가 중복되지 않음.",사실적 렌더링 요소가 없음.,사람 얼굴이 식별 가능하게 표현됨.,배경이 가정집으로 표현되어 있음.,1713,360
20260415_155815_491322,0,,,,,,1,,,,,,1,1,1,,,1,5,L1,"""dog_visible->L0""",L0,0.0198,0.003,0.0952,0.0511,-0.0004,0,[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],[LLM SKIPPED: dog not visible],0,0
20260415_160000_2c4900,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0237,0.0137,0.1027,0.0801,0.0172,0,강아지 얼굴이 선명하고 왜곡 없이 그려져 있습니다.,이미지 내 강아지가 정확히 1마리 있습니다.,눈 위에서 강아지와 산책하는 장면이 잘 표현되었습니다.,눈이 쌓인 낮의 풍경과 일치하는 팔레트가 사용되었습니다.,반사되거나 거울처럼 보이는 부분이 없습니다.,강아지의 다리 수가 정상적으로 표현되어 있습니다.,전반적인 느낌이 파스텔 그림책 스타일과 일치합니다.,프롬프트와 일치하는 사람의 표현이 있습니다.,"눈, 코, 귀가 중복 없이 정상적으로 표현되어 있습니다.",사실적 렌더링 없이 일러스트로 표현되었습니다.,사람 얼굴이 흐릿하게 표현되어 있습니다.,눈 위에서 산책하는 배경이 적절하게 표현되었습니다.,1715,397
20260416_092151_374074,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0374,0.0246,0.1273,,,0,강아지의 얼굴이 선명하게 표현되었습니다.,이미지에는 강아지가 정확히 한 마리만 있습니다.,프롬프트의 핵심 요소가 이미지에 반영되었습니다.,저녁 설정에 맞는 따뜻하고 포근한 팔레트가 사용되었습니다.,반사 또는 거울 이미지가 없습니다.,강아지 다리의 수가 적절하게 표현되었습니다.,한국-일본식 파스텔 그림책 스타일로 그려졌습니다.,사람이 등장하며 프롬프트와 일치합니다.,"강아지의 눈, 코, 귀가 중복되지 않았습니다.",사실적 렌더링이 없이 일러스트 스타일로 표현되었습니다.,사람의 얼굴이 식별 가능하게 표현되었습니다.,실내 배경과 소품이 자연스럽게 표현되었습니다.,1713,438
20260416_094954_58d95b,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,0.0,1,1,1,1.0,1.0,1,15,L4,"""prompt_reflected->L3""",L3,0.0416,0.0186,0.0991,-0.0129,,0,강아지 얼굴이 선명하고 이목구비가 잘 표현됨.,이미지에 강아지가 한 마리만 있음.,프롬프트의 핵심 요소인 '목욕'과 '간식'이 반영되지 않음.,이미지의 색감이 낮의 팔레트를 반영함.,반사 또는 거울 이미지가 없음.,강아지의 다리가 자연스럽고 추가 생성되지 않음.,파스텔 그림책 스타일로 표현됨.,사람의 표현이 프롬프트와 직접적으로 일치하거나 불일치하지 않음.,"눈, 코, 귀가 중복 생성되지 않음.",사실적 렌더링이 혼입되지 않았음.,사람 얼굴이 명확히 드러나지 않음.,배경이 자연 환경임을 잘 표현하고 있음.,1714,393
20260416_095043_edf837,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0355,-0.0008,0.12,,0.0435,0,강아지 얼굴이 선명하고 왜곡 없이 표현됨.,강아지가 정확히 한 마리 등장함.,프롬프트의 핵심 장면(공원에서 강아지)과 잘 일치함.,낮의 팔레트를 반영하여 밝고 생동감 있게 표현됨.,반사되거나 거울처럼 보이는 이미지가 없음.,다리의 수와 위치가 자연스러움.,한국-일본식 파스텔 그림책 스타일을 잘 따름.,사람이 자연스럽게 표현되어 프롬프트와 충돌하지 않음.,"눈, 코, 귀가 중복 없이 적절히 표현됨.",사실적 렌더링 없이 일러스트로 잘 표현됨.,사람 얼굴이 식별 가능하게 표현됨.,공원의 배경이 자연스럽게 잘 묘사됨.,1712,410
20260416_095108_341416,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,1,0,1,1.0,1.0,1,13,L3,"""one_dog->L1,prompt_reflected->L3""",L1,0.0436,0.0278,0.0951,-0.0144,,0,강아지 얼굴이 선명하고 이목구비가 뚜렷하게 표현되어 있다.,이미지 내에 강아지가 두 마리 등장하고 있다.,프롬프트에 고양이가 언급되었으나 강아지가 그려져 있다.,낮 배경에 맞는 밝은 색조가 사용되었다.,반사나 거울 이미지는 없다.,다리가 적절한 개수로 자연스럽게 표현되어 있다.,한국-일본식 파스텔 그림책 스타일로 그려졌다.,사람이 등장하여 프롬프트와 일치하지 않는다.,"눈, 코, 귀의 중복이 없다.","사실적 렌더링이 없고, 애니메이션 스타일이다.",사람 얼굴이 식별 가능하게 명확히 표현되지 않았다.,실내 배경이 적절히 표현되어 있다.,1712,414
20260416_095133_56a45f,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0378,0.0019,0.1145,,,0,강아지의 얼굴이 선명하고 왜곡 없이 잘 표현되었습니다.,이미지에 강아지가 정확히 한 마리 있습니다.,"프롬프트의 핵심 장면, 강아지가 사람을 반긴다는 내용이 반영되었습니다.",시간대에 관한 정보는 없으나 팔레트와 충돌이 없습니다.,반사 또는 거울 이미지가 없습니다.,강아지의 다리는 정상적으로 표현되었습니다.,한국-일본식 파스텔 그림책 스타일로 표현되었습니다.,사람이 프롬프트와 충돌 없이 잘 표현되었습니다.,"눈, 코, 귀 등이 중복 생성되지 않았습니다.",사실적 렌더링이 혼입되지 않았습니다.,사람의 얼굴이 식별 가능하게 표현되었습니다.,프롬프트에 따른 배경이 잘 표현되었습니다.,1712,401
20260416_095200_1b060d,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,0,1,1,1.0,1.0,1,15,L4,"""""",L4,0.038,0.0163,0.0931,0.0597,,1,강아지의 얼굴이 선명하고 왜곡되지 않음.,이미지에 강아지는 한 마리만 있음.,프롬프트의 핵심 요소인 '눈 위에 발자국'이 잘 반영됨.,눈 덮인 배경과 잘 어울리게 팔레트가 밸런스가 맞음.,거울 또는 반사 이미지가 없음.,다리의 수가 적절하며 위치도 자연스러움.,한국식 파스텔 그림책 스타일로 표현됨.,사람이 등장하지 않음.,"눈, 코, 귀가 중복되지 않고 자연스러움.",사실적 렌더링 요소가 없음.,사람이 없으므로 해당 없음.,눈 덮인 공원의 자연스러운 배경이 잘 표현됨.,1715,395
20260416_095226_eec7c5,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0341,0.0175,0.128,,,0,강아지의 얼굴은 선명하고 왜곡 없이 표현됨.,이미지 내 강아지가 정확히 한 마리임.,프롬프트의 핵심 장면이 잘 반영됨.,장면의 팔레트가 배경과 일치하며 자연스러움.,반사 또는 거울 이미지가 없음.,다리가 추가 생성되지 않고 자연스러움.,한국-일본식 파스텔 그림책 스타일로 표현됨.,프롬프트에 따른 인간 표현과 일치함.,"강아지의 눈, 코, 귀가 중복되지 않음.",사실적 렌더링이 없이 일러스트로 표현됨.,사람의 얼굴이 이목구비가 뚜렷하게 표현됨.,프롬프트의 배경 맥락에 적합한 장소 표현.,1715,405
20260416_095254_c66582,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1,0,1,1.0,1.0,1,14,L4,"""one_dog->L1,prompt_reflected->L3""",L1,0.0311,0.0182,0.0927,,,0,강아지 얼굴이 선명하게 표현됨.,이미지에 강아지가 두 마리 있음.,강아지와 함께 놀았다는 장면이 반영되지 않음.,시간대와 팔레트가 일치함.,반사 이미지 없음.,다리 수가 정상적임.,한국-일본식 파스텔 스타일이 맞음.,프롬프트에 없는 사람이 묘사됨.,"눈, 코, 귀가 중복되지 않음.",사실적 렌더링 혼입 없음.,사람의 얼굴이 선명하게 표현됨.,실내 배경과 잘 일치함.,1713,360
20260416_095320_02b388,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0381,0.023,0.1243,,0.0595,0,강아지의 얼굴이 선명하게 표현되어 있습니다.,이미지에 강아지가 한 마리만 있습니다.,카페에서의 행복한 시간이 잘 표현되었습니다.,밝은 낮의 팔레트가 적절하게 사용되었습니다.,거울이나 반사 이미지는 없습니다.,다리가 자연스러운 위치에 네 개 있습니다.,한국-일본식 파스텔 그림책 스타일로 그려졌습니다.,사람들이 카페에서 시간을 보내고 있어 프롬프트와 일치합니다.,"눈, 코, 귀가 중복되지 않고 정상적으로 있습니다.",사실적인 렌더링이 혼합되지 않았고 일러스트 스타일입니다.,사람의 얼굴이 선명하게 표현되어 있습니다.,카페의 배경이 확실하게 드러나 있습니다.,1712,394
20260416_095347_1c1f99,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0431,0.0164,0.1151,0.0136,,0,강아지의 얼굴이 선명하게 표현됨.,한 마리의 강아지가 존재함.,프롬프트에 제시된 장면이 잘 반영됨.,따스한 낮잠 시간에 맞는 팔레트임.,반사 이미지가 없음.,다리가 추가 생성되지 않음.,한국식 파스텔 그림책 스타일로 표현됨.,사람 표현이 프롬프트와 일치함.,"눈, 코, 귀가 중복되지 않음.",사실적 렌더링 요소가 없음.,사람 얼굴이 명확하게 표현됨.,장소와 배경이 잘 표현됨.,1714,351
20260416_095413_32bc9e,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1,1,1,1.0,1.0,1,17,L5,"""""",L5,0.0549,0.012,0.0956,0.0729,0.072,1,강아지 얼굴이 선명하게 표현되었다.,이미지 내에 강아지가 한 마리만 있다.,공원에서 공놀이하는 장면이 잘 반영되었다.,밝은 낮의 팔레트가 사용되었다.,반사나 거울 이미지가 없다.,다리 수가 정상적으로 표현되었다.,한국-일본식 파스텔 그림책 스타일로 표현되었다.,사람이 프롬프트와 충돌되지 않게 등장한다.,"눈, 코, 귀가 중복되지 않고 자연스럽게 표현되었다.",사실적 렌더링이 혼입되지 않았다.,사람 얼굴이 흐리고 이목구비가 불분명하다.,공원 배경이 잘 표현되었다.,1715,389
20260416_095440_001e5e,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0,0,1,1.0,1.0,1,16,L4,"""""",L4,0.0245,0.0231,0.1164,0.0761,,0,강아지의 얼굴이 선명하고 왜곡 없이 표현되었습니다.,이미지 내 강아지가 정확히 1마리입니다.,프롬프트의 핵심 장면이 잘 반영되었습니다.,이미지의 팔레트가 눈의 배경과 잘 어울립니다.,거울 효과나 반사 이미지가 없습니다.,다리가 추가 생성되지 않았습니다.,한국-일본식 파스텔 그림책 스타일로 표현되었습니다.,프롬프트와 충돌하지 않는 사람 표현이 있습니다.,얼굴 부위가 중복 생성되지 않았습니다.,사실적 렌더링 요소가 없습니다.,사람의 얼굴이 명확히 식별 가능합니다.,눈 내린 배경이 자연스럽고 적절하게 표현되었습니다.,1714,386
20260416_095507_49e27b,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,0,1,1.0,1.0,1,17,L5,"""""",L5,0.0463,0.0135,0.1102,0.0257,,0,강아지의 얼굴이 선명하고 왜곡 없이 표현되어 있다.,이미지 내 강아지가 한 마리만 있다.,"비 오는 날, 나영과 함께라는 프롬프트가 잘 반영되어 있다.",비 오는 날에 어울리는 차분한 팔레트가 사용되었다.,반사나 거울 이미지가 없다.,강아지의 다리 수가 정확히 네 개로 추가 생성되지 않았다.,한국식 파스텔 그림책 스타일로 표현되어 있다.,사람이 프롬프트와 잘 일치하며 나영이 포함되어 있다.,"강아지의 눈, 코, 귀가 중복되지 않고 자연스럽게 표현되어 있다.",사실적 렌더링이 혼입되지 않았다.,사람 얼굴이 식별 가능하게 표현되어 있다.,창문을 통해 비가 오는 상황이 배경으로 잘 표현되어 있다.,1712,405
20260416_095537_996595,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1,18,L5,"""""",L5,0.0235,0.0214,0.108,,,1,강아지 얼굴이 선명하게 잘 표현되어 있다.,이미지 내에 강아지가 정확히 한 마리 있다.,프롬프트의 핵심 장면인 계곡에서 즐기는 모습이 반영되었다.,밝은 팔레트로 낮의 느낌을 잘 전달하고 있다.,거울 효과나 반사가 없다.,다리의 수와 위치가 자연스럽다.,한국-일본식 파스텔 그림책 스타일이 잘 표현되었다.,사람들이 등장하여 프롬프트와 충돌하지 않는다.,"눈, 코, 귀가 중복되지 않고 자연스럽다.",사실적 렌더링이 없이 일러스트 스타일이다.,사람 얼굴이 식별 가능하게 표현되었다.,계곡의 자연적인 배경이 잘 나타나 있다.,1717,387
20260416_095601_54be30,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,1,1,1.0,1.0,1,16,L4,"""""",L4,0.0315,0.0097,0.1086,0.017,-0.0263,0,강아지의 얼굴이 선명하게 잘 표현되어 있음.,이미지에 강아지가 한 마리만 있음.,밤 산책 장면이 잘 반영되어 있음.,밤의 이미지에 맞는 어두운 팔레트 사용.,이미지에 반사나 거울 효과가 없음.,다리의 수가 정확하고 부자연스럽지 않음.,한국-일본식 파스텔 그림책 스타일이 분명함.,프롬프트에 사람이 언급되지 않음.,"눈, 코, 귀가 중복 없이 정확히 표현됨.",사실적인 렌더링 없이 그림 스타일 유지.,사람의 얼굴이 이미지에 없음.,배경에 가로등과 나무가 있어 장소가 명확히 드러남.,1712,388
20260416_095626_9e9226,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,0,1,1.0,1.0,1,15,L4,"""""",L4,0.0518,-0.0063,0.0337,,,0,강아지 얼굴이 선명하고 잘 표현되어 있음.,이미지 내 강아지가 한 마리임.,로프와 함께 놀고 있는 장면이 반영됨.,밝고 따뜻한 톤으로 낮을 표현.,반사/거울 이미지가 없음.,다리가 추가 생성되지 않았음.,파스텔 그림책 스타일로 표현됨.,사람이 등장하지 않음.,얼굴에 중복된 부분이 없음.,사실적 렌더링 없이 그림으로 표현됨.,사람이 없으므로 해당 없음.,실내라는 배경이 적절히 표현됨.,1715,345
20260416_095654_19fdb9,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,,1.0,1,1,1,1.0,1.0,1,16,L4,"""""",L4,0.0289,0.0141,0.1041,,,0,강아지의 얼굴이 뚜렷하고 선명하게 표현됨.,이미지 내에 강아지가 정확히 한 마리만 있음.,느긋한 여름날의 풍경이 핵심 요소로 잘 표현됨.,밝고 따뜻한 팔레트가 여름날과 잘 어울림.,반사나 거울 이미지가 없음.,다리가 자연스럽게 표현되어 추가 생성되지 않음.,한국-일본식 파스텔 그림책 스타일로 표현됨.,사람이 명시적으로 프롬프트에 언급되지 않음.,"눈, 코, 귀가 중복 생성되지 않음.",사실적 렌더링 없이 그림책 스타일 유지됨.,사람의 얼굴이 없거나 명확하지 않음.,편안한 공원의 풍경이 잘 반영됨.,1716,404
