image_id,dog_visible,face_clear,no_duplicate_face_parts,no_extra_legs,one_dog,no_mirror,no_multi_panel,pastel_style,no_realistic_rendering,human_prompt_consistency,human_face_clear,prompt_reflected,brightness_ok,sharpness_ok,pastel_color_ok,time_palette_ok,place_context_ok,no_text,total_score,raw_level,caps_applied,final_level,clip_dog_score,clip_face_score,clip_pastel_score,clip_activity_score,clip_place_score,yolo_dog_count,cv_items_scored,error
20260416_104025_ef714c,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0434,0.0199,0.126,,,0,14,
20260416_104101_725b25,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0393,0.0166,0.11,0.0346,,0,14,
20260416_104130_a17a93,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0396,0.0252,0.1016,,,0,14,
20260416_104156_dd767c,1,1.0,1,1,,1,1,1,1,,,1,0,0,1,1,0.0,1,12,L3,,L3,0.0311,0.0215,0.0982,0.0385,-0.0227,0,15,
20260416_104223_48d74c,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0436,0.014,0.101,,,0,14,
20260416_104255_91c25e,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0388,0.0118,0.0903,,,0,14,
20260416_104322_21e269,0,,1,1,,1,1,1,1,,,1,1,0,1,1,0.0,1,11,L3,dog_visible->L0,L0,0.015,0.0032,0.0972,0.0666,-0.0067,0,14,
20260416_104349_9fac9e,1,1.0,1,1,,1,1,1,1,,,1,0,0,1,1,,1,12,L3,,L3,0.0378,0.0239,0.1082,,,0,14,
20260416_104416_697530,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0275,0.016,0.0995,,,0,14,
20260416_104445_c06482,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0347,0.0029,0.1135,,,0,14,
20260416_104514_4017a8,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0513,0.0184,0.097,,,0,14,
20260416_104539_93b839,1,1.0,1,1,1.0,1,1,1,1,,,0,1,0,1,1,,1,13,L3,prompt_reflected->L3,L3,0.0345,0.0193,0.082,-0.0326,,1,15,
20260416_104607_26d4b5,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.044,0.0266,0.0933,,,0,14,
20260416_104632_3ff383,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0332,0.0162,0.0779,0.0494,,1,15,
20260416_104700_05c5ac,1,1.0,1,1,,1,1,1,1,,,0,1,1,1,1,,1,13,L3,prompt_reflected->L3,L3,0.0423,0.0131,0.1279,-0.0009,,0,14,
20260420_103527_8d6995,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0373,0.0044,0.0274,0.048,,0,14,
20260420_103616_723aa8,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0434,0.0074,0.0695,,,1,15,
20260420_103642_9bdf3b,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,0,0.0,1,13,L3,,L3,0.0232,0.016,0.0994,0.0678,-0.0026,0,15,
20260420_103711_1c4594,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0277,0.0238,0.1089,,,0,14,
20260420_103738_3aa267,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0388,0.007,0.05,,,0,14,
20260420_103805_d9a96c,1,1.0,1,1,0.0,1,1,1,1,,,1,1,1,1,1,,1,14,L4,one_dog->L1,L1,0.0353,0.0159,0.0905,0.0143,,2,15,
20260420_103838_c3f61b,0,,1,1,,1,1,1,1,,,1,1,1,1,1,0.0,1,12,L3,dog_visible->L0,L0,0.0188,0.0115,0.0953,0.0442,-0.0212,0,14,
20260420_103907_09ec0e,1,1.0,1,1,,1,1,1,1,,,1,0,0,1,1,,1,12,L3,,L3,0.0228,0.011,0.1174,0.0662,,0,14,
20260420_103956_9c6f4d,1,0.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,0.0,1,14,L4,face_clear->L2,L2,0.0451,-0.0017,0.0985,0.0451,-0.0145,1,16,
20260420_104023_e80eb2,1,0.0,1,1,1.0,1,1,1,1,,,1,1,0,1,1,,1,13,L3,face_clear->L2,L2,0.0436,-0.0069,0.0413,,,1,15,
20260420_104049_3d8f38,1,1.0,1,1,1.0,1,1,1,1,,,1,1,0,1,1,,1,14,L4,,L4,0.065,0.0102,0.0574,0.059,,1,15,
20260420_104115_1b77be,1,1.0,1,1,,1,1,1,1,,,0,1,1,1,1,,1,13,L3,prompt_reflected->L3,L3,0.0259,0.0121,0.1202,-0.0037,,0,14,
20260420_104143_6a9d5e,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.031,0.0134,0.0954,0.0207,,0,14,
20260420_104212_1d4bf0,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0386,0.0052,0.0846,,,0,14,
20260420_104239_43f6af,1,0.0,1,1,1.0,1,1,1,1,,,1,1,0,1,1,1.0,1,14,L4,face_clear->L2,L2,0.0407,-0.0016,0.038,,0.0681,1,16,
20260420_104303_a777b2,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0357,0.0056,0.0905,0.049,,0,14,
20260420_104328_dff97c,1,1.0,1,1,1.0,1,1,1,1,,,1,1,0,1,1,,0,13,L3,no_text->L3,L3,0.0503,0.0188,0.0662,0.0206,,1,15,
20260420_104355_76d480,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.036,0.0195,0.1257,,,0,14,
20260420_104427_c30172,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,1.0,1,14,L4,,L4,0.0339,0.0088,0.0802,,0.026,0,15,
20260420_104458_5f3c9e,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,0.0,1,14,L4,,L4,0.0357,0.0102,0.0931,0.0484,-0.0083,0,15,
20260420_110705_a024eb,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0376,0.0275,0.1129,,,0,14,
20260420_110808_a5009c,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0483,0.0232,0.1321,0.0069,,0,14,
20260420_110848_284bac,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0406,0.0129,0.1037,0.0065,,0,14,
20260420_110932_766f47,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,1.0,1,15,L4,,L4,0.0343,0.0118,0.1299,0.0528,0.0112,0,15,
20260420_111013_249754,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0559,0.0149,0.0937,,,0,14,
20260420_111101_75ca83,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0334,0.0362,0.1227,,,0,14,
20260420_111140_ce07a9,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0579,0.0081,0.101,,,0,14,
20260420_111220_5b2f6b,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,1.0,1,16,L4,,L4,0.02,0.0215,0.1279,,0.0537,1,16,
20260420_111346_885189,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0509,0.0205,0.0849,0.0751,,0,14,
20260420_111427_cf46bc,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0395,0.0161,0.1021,,,0,14,
20260420_111514_102711,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0538,0.0119,0.0867,,,0,14,
20260420_111555_60081d,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0368,0.0036,0.0519,,,0,14,
20260420_111634_10cee1,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0514,0.0095,0.0901,0.0347,,1,15,
20260420_111735_5d7ddc,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0518,0.0178,0.1029,,,0,14,
20260420_111815_3b69e8,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,1.0,1,15,L4,,L4,0.0309,0.0115,0.1162,0.0641,0.0039,0,15,
20260420_111856_76a7bf,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0442,0.0103,0.0914,,,0,14,
20260420_111931_6bd11b,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0578,0.0109,0.0753,,,0,14,
20260420_112014_7644dd,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0368,0.0083,0.1183,0.055,,0,14,
20260420_112052_4aedfc,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0406,0.0013,0.0743,,,0,14,
20260420_112135_0ee387,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0454,0.0121,0.0684,,,1,15,
20260421_111619_3d6a19,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0415,0.0112,0.1273,,,0,14,
20260421_115118_cb6f22,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0379,0.0249,0.1171,,,0,14,
20260421_115219_c24f2d,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0423,0.0181,0.1209,0.0028,,0,14,
20260421_115301_c7a961,1,1.0,1,1,,1,1,1,1,,,0,1,1,1,1,,1,13,L3,prompt_reflected->L3,L3,0.0311,0.021,0.1346,-0.0007,,0,14,
20260421_115354_98630b,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0351,0.0158,0.1362,,,1,15,
20260421_115432_3932fc,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0427,0.0223,0.1187,,,0,14,
20260421_115510_032e26,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0359,0.035,0.1023,,,0,14,
20260421_115554_81462c,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0493,0.0113,0.1096,,,0,14,
20260421_115636_b293f7,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,1.0,1,16,L4,,L4,0.0256,0.0221,0.1241,0.0423,0.0442,1,16,
20260421_115727_4d53a2,1,1.0,1,1,,1,1,1,1,,,1,1,0,1,1,,1,13,L3,,L3,0.0517,0.0192,0.1051,0.0734,,0,14,
20260421_115805_b3427a,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0381,0.029,0.1099,,,0,14,
20260421_115845_58d926,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0491,0.0126,0.1165,,,1,15,
20260421_115926_468e61,1,1.0,1,1,,1,1,1,1,,,0,1,1,1,1,,1,13,L3,prompt_reflected->L3,L3,0.0447,0.0114,0.0959,-0.0077,,0,14,
20260421_120005_31b670,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0535,0.0134,0.1167,0.0383,,0,14,
20260421_120049_1711d5,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0525,0.0195,0.0906,,,1,15,
20260421_120132_176183,0,,1,1,,1,1,1,1,,,1,1,1,1,1,1.0,1,13,L3,dog_visible->L0,L0,0.0177,0.0099,0.1349,0.0577,0.0031,1,14,
20260421_120219_861131,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0425,0.0229,0.1248,0.0389,,0,14,
20260421_120312_a4b513,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0508,0.0151,0.0956,,,0,14,
20260421_120420_39c9ea,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0375,0.0105,0.1144,0.027,,0,14,
20260421_120523_043ca2,1,0.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,14,L4,face_clear->L2,L2,0.0323,-0.0028,0.0761,,,1,15,
20260421_120604_2dea3a,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0447,0.0252,0.117,,,0,14,
20260421_121200_283774,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0385,0.0087,0.0824,,,0,14,
20260421_121309_d477b0,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0452,0.0204,0.1157,,,0,14,
20260421_121345_95a388,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.034,0.0176,0.1168,,,0,14,
20260421_121429_4751a7,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0435,0.0122,0.0854,0.0617,,0,14,
20260421_121512_83452c,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0415,0.0096,0.076,,,1,15,
20260421_121554_3a7004,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,1.0,1,16,L4,,L4,0.037,0.0158,0.1157,,0.0424,1,16,
20260421_121635_2e1af2,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0419,0.0107,0.0887,,,0,14,
20260421_121715_26182c,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0373,0.0115,0.0913,,,0,14,
20260421_121754_d2b211,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0578,0.0098,0.1138,,,0,14,
20260421_121833_b6cf15,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0571,0.0075,0.07,0.0696,,1,15,
20260421_121915_ebe7ac,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0378,0.0111,0.1222,0.0359,,0,14,
20260421_121953_0c97a8,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0422,0.0166,0.1102,,,0,14,
20260421_122030_106c56,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0435,0.024,0.1272,,,0,14,
20260421_122111_bd66bb,1,1.0,1,1,1.0,1,1,1,1,,,1,1,0,1,1,0.0,1,14,L4,,L4,0.0406,0.0161,0.1154,0.0455,-0.0139,1,16,
20260421_122149_6fc2ed,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0365,0.0134,0.0995,,,1,15,
20260421_122231_e6528c,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0468,0.0172,0.1134,,,0,14,
20260421_122316_4c2efc,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.04,0.0177,0.1108,,,0,14,
20260421_122354_c4fab0,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0401,0.014,0.1393,,,0,14,
20260421_122437_6ff4b1,1,1.0,1,1,1.0,1,1,1,1,,,1,1,1,1,1,,1,15,L4,,L4,0.0391,0.01,0.0778,,,1,15,
20260421_122520_89bacb,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.047,0.0128,0.0945,,,0,14,
20260423_145249_8c5602,1,1.0,1,1,,1,1,1,1,,,1,1,1,1,1,,1,14,L4,,L4,0.0352,0.0242,0.1176,0.0089,,0,14,
